id,nomeParlamentar,nomeCompleto,cargo,partido,mandato,sexo,uf,telefone,email,nascimento,fotoURL,gastoTotal,gastoPorDia
4981,ACIR GURGACZ,ACIR GURGACZ,SENADOR,PDT,2011-2018,Masculino,RO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4981.jpg,1387798.2906482313,949.8961606079612
4815,ADA MELLO,ADA MELLO,SENADOR,PTB,2011-2018,Feminino,AL,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4815.jpg,0.0,0.0
391,AÉCIO NEVES,AÉCIO NEVES,SENADOR,PSDB,2011-2018,Masculino,MG,,,,http://www.senado.leg.br/senadores/img/fotos/bemv391.jpg,921880.5843019485,630.9928708432228
4527,ALFREDO NASCIMENTO,ALFREDO NASCIMENTO,SENADOR,PR,2011-2018,Masculino,AM,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4527.jpg,817442.4896397591,559.5088909238598
846,ALOYSIO NUNES FERREIRA,ALOYSIO NUNES FERREIRA,SENADOR,PSDB,2011-2018,Masculino,SP,,,,http://www.senado.leg.br/senadores/img/fotos/bemv846.jpg,927366.6793528795,634.747898256591
945,ALVARO DIAS,ALVARO DIAS,SENADOR,PSDB,2011-2018,Masculino,PR,,,,http://www.senado.leg.br/senadores/img/fotos/bemv945.jpg,336986.55882644653,230.6547288339812
4988,ANA AMÉLIA,ANA AMÉLIA,SENADOR,PP,2011-2018,Feminino,RS,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4988.jpg,469376.46931409836,321.2706839932227
4869,ANA RITA,ANA RITA,SENADOR,PT,2011-2018,Feminino,ES,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4869.jpg,1167161.2901646495,798.8783642468511
4697,ANGELA PORTELA,ANGELA PORTELA,SENADOR,PT,2011-2018,Feminino,RR,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4697.jpg,1516049.3873214722,1037.679252102308
4837,ANIBAL DINIZ,ANIBAL DINIZ,SENADOR,PT,2011-2018,Masculino,AC,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4837.jpg,1530999.6590008736,1047.9121553736302
4897,ANTONIO AURELIANO,ANTONIO AURELIANO,SENADOR,PSDB,2011-2018,Masculino,MG,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4897.jpg,67530.39996433258,46.22203967442339
5150,ANTONIO CARLOS RODRIGUES,ANTONIO CARLOS RODRIGUES,SENADOR,PR,2011-2018,Masculino,SP,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5150.jpg,587628.3197174668,402.20966441989515
3,ANTONIO CARLOS VALADARES,ANTONIO CARLOS VALADARES,SENADOR,PSB,2011-2018,Masculino,SE,,,,http://www.senado.leg.br/senadores/img/fotos/bemv3.jpg,957447.7904691696,655.3372966934768
4891,ANTONIO RUSSO,ANTONIO RUSSO,SENADOR,PR,2011-2018,Masculino,MS,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4891.jpg,423079.0798625946,289.58184795523243
715,ARMANDO MONTEIRO,ARMANDO MONTEIRO,SENADOR,PTB,2011-2018,Masculino,PE,,,,http://www.senado.leg.br/senadores/img/fotos/bemv715.jpg,1214916.2816205025,831.5648744835746
4983,ASSIS GURGACZ,ASSIS GURGACZ,SENADOR,PDT,2011-2018,Masculino,RO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4983.jpg,129850.40966796875,88.87776157971851
5164,ATAÍDES OLIVEIRA,ATAÍDES OLIVEIRA,SENADOR,PSDB,2011-2018,Masculino,TO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5164.jpg,534297.0193481445,365.70637874616324
3823,BENEDITO DE LIRA,BENEDITO DE LIRA,SENADOR,PP,2011-2018,Masculino,AL,,,,http://www.senado.leg.br/senadores/img/fotos/bemv3823.jpg,750697.8092932701,513.824647017981
111,BLAIRO MAGGI,BLAIRO MAGGI,SENADOR,PR,2011-2018,Masculino,MT,,,,http://www.senado.leg.br/senadores/img/fotos/bemv111.jpg,569996.0700558424,390.1410472661481
704,CARLOS DUNGA,CARLOS DUNGA,SENADOR,PTB,2011-2018,Masculino,PB,,,,http://www.senado.leg.br/senadores/img/fotos/bemv704.jpg,0.0,0.0
13,CASILDO MALDANER,CASILDO MALDANER,SENADOR,PMDB,2011-2018,Masculino,SC,,,,http://www.senado.leg.br/senadores/img/fotos/bemv13.jpg,1159752.7574902773,793.8074999933451
5197,CÁSSIO CUNHA LIMA,CÁSSIO CUNHA LIMA,SENADOR,PSDB,2011-2018,Masculino,PB,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5197.jpg,639825.7894744873,437.9368853350358
4529,CÍCERO LUCENA,CÍCERO LUCENA,SENADOR,PSDB,2011-2018,Masculino,PB,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4529.jpg,1605632.9586143494,1098.9958648968852
5108,CIDINHO SANTOS,CIDINHO SANTOS,SENADOR,PR,2011-2018,Masculino,MT,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5108.jpg,144172.1102218628,98.68043136335578
739,CIRO NOGUEIRA,CIRO NOGUEIRA,SENADOR,PP,2011-2018,Masculino,PI,,,,http://www.senado.leg.br/senadores/img/fotos/bemv739.jpg,1615292.4385643005,1105.6074185929504
4895,CLÉSIO ANDRADE,CLÉSIO ANDRADE,SENADOR,PMDB,2011-2018,Masculino,MG,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4895.jpg,420749.06745147705,287.987041376781
3881,CLOVIS FECURY,CLOVIS FECURY,SENADOR,DEM,2011-2018,Masculino,MA,,,,http://www.senado.leg.br/senadores/img/fotos/bemv3881.jpg,343165.9494743347,234.88429122131055
3398,CRISTOVAM BUARQUE,CRISTOVAM BUARQUE,SENADOR,PDT,2011-2018,Masculino,DF,,,,http://www.senado.leg.br/senadores/img/fotos/bemv3398.jpg,0.0,0.0
4877,CYRO MIRANDA,CYRO MIRANDA,SENADOR,PSDB,2011-2018,Masculino,GO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4877.jpg,954883.3394565582,653.5820256376169
3360,DELCÍDIO DO AMARAL,DELCÍDIO DO AMARAL,SENADOR,PT,2011-2018,Masculino,MS,,,,http://www.senado.leg.br/senadores/img/fotos/bemv3360.jpg,1085576.51861763,743.0366314973511
3399,DEMÓSTENES TORRES,DEMÓSTENES TORRES,SENADOR,S/PARTIDO,2011-2018,Masculino,GO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv3399.jpg,343471.410987854,235.0933682326174
5178,DOUGLAS CINTRA,DOUGLAS CINTRA,SENADOR,PTB,2011-2018,Masculino,PE,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5178.jpg,38786.45007324219,26.54787821577152
16,EDISON LOBÃO,EDISON LOBÃO,SENADOR,PMDB,2011-2018,Masculino,MA,,,,http://www.senado.leg.br/senadores/img/fotos/bemv16.jpg,0.0,0.0
4721,EDUARDO AMORIM,EDUARDO AMORIM,SENADOR,PSC,2011-2018,Masculino,SE,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4721.jpg,882624.3903239965,604.1234704476362
4994,EDUARDO BRAGA,EDUARDO BRAGA,SENADOR,PMDB,2011-2018,Masculino,AM,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4994.jpg,983572.0689697266,673.2183908074788
